Babadayhan[Turkmenistan]---346,31km--->Bala Morghab[Afghanistan]
Bala Morghab[Afghanistan]---209,76km--->Andkhvoy[Afghanistan]
Andkhvoy[Afghanistan]---117,87km--->Aqcheh[Afghanistan]
Aqcheh[Afghanistan]---203,88km--->Bamian[Afghanistan]
Bamian[Afghanistan]---115,63km--->Baghlan[Afghanistan]
Baghlan[Afghanistan]---131,54km--->Ayni[Tajikistan]
Ayni[Tajikistan]---196,48km--->Angren[Uzbekistan]
Angren[Uzbekistan]---241,48km--->Andijon[Uzbekistan]
Andijon[Uzbekistan]---228,37km--->Asmar[Afghanistan]
Asmar[Afghanistan]---201,42km--->Bahawalpur[Pakistan]
Bahawalpur[Pakistan]---132,81km--->Barmer[Rajasthan]
Barmer[Rajasthan]---94,56km--->Balotra[Rajasthan]
Balotra[Rajasthan]---76,00km--->Abu Road[Rajasthan]
Abu Road[Rajasthan]---51,14km--->Ahmadabad[Gujarat]
Ahmadabad[Gujarat]---37,65km--->Anand[Gujarat]
Anand[Gujarat]---32,54km--->Ankleswar[Gujarat]
Ankleswar[Gujarat]---20,49km--->Bardoli[Gujarat]
Bardoli[Gujarat]---63,37km--->Ahwa[Gujarat]
Ahwa[Gujarat]---109,67km--->Alibag[Maharashtra]
Alibag[Maharashtra]---138,97km--->Aguada[Goa]
Aguada[Goa]---151,42km--->Ahmadnagar[Maharashtra]
Ahmadnagar[Maharashtra]---68,45km--->Amalner[Maharashtra]
Amalner[Maharashtra]---100,45km--->Banswara[Rajasthan]
Banswara[Rajasthan]---88,25km--->Ajmer[Rajasthan]
Ajmer[Rajasthan]---121,37km--->Abohar[Punjab]
Abohar[Punjab]---85,48km--->Ajnala[Punjab]
Ajnala[Punjab]---11,86km--->Amritsar[Punjab]
Amritsar[Punjab]---41,15km--->Baba Bakala[Punjab]
Baba Bakala[Punjab]---46,78km--->Barnala[Punjab]
Barnala[Punjab]---96,65km--->Achabal[Kashmir]
Achabal[Kashmir]---9,19km--->Anantnag[Kashmir]
Anantnag[Kashmir]---90,01km--->Baramula[Kashmir]
Baramula[Kashmir]---256,33km--->At Bashi[Kyrgyzstan]
At Bashi[Kyrgyzstan]---138,98km--->Almaty[Kazakstan]
Almaty[Kazakstan]---237,12km--->Balkhash[Kazakstan]
Balkhash[Kazakstan]---240,42km--->Aqtau[Kazakstan]
Aqtau[Kazakstan]---175,32km--->Aqmola[Kazakstan]
Aqmola[Kazakstan]---353,30km--->Atbasar[Kazakstan]
Atbasar[Kazakstan]---179,73km--->Arkalyk[Kazakstan]
Arkalyk[Kazakstan]---1074,15km--->Aqtobe[Kazakstan]
Aqtobe[Kazakstan]---622,40km--->Atyrau[Kazakstan]
Atyrau[Kazakstan]---429,42km--->Astrakhan[Russia]
Astrakhan[Russia]---416,86km--->Altyagach[Azerbaijan]
Altyagach[Azerbaijan]---62,42km--->Agsu[Azerbaijan]
Agsu[Azerbaijan]---83,95km--->Ali Bayramli[Azerbaijan]
Ali Bayramli[Azerbaijan]---48,74km--->Alat[Azerbaijan]
Alat[Azerbaijan]---58,85km--->Baku[Azerbaijan]
Baku[Azerbaijan]---177,68km--->Astara[Azerbaijan]
Astara[Azerbaijan]---65,84km--->Ardabil[Iran]
Ardabil[Iran]---140,02km--->Bandar-e Anzali[Iran]
Bandar-e Anzali[Iran]---245,80km--->Arak[Iran]
Arak[Iran]---228,24km--->Ahvaz[Iran]
Ahvaz[Iran]---86,01km--->Abadan[Iran]
Abadan[Iran]---55,62km--->Al Basrah[Iraq]
Al Basrah[Iraq]---47,57km--->Ar Rawdatyn[Kuwait]
Ar Rawdatyn[Kuwait]---40,80km--->Al Jahrah[Kuwait]
Al Jahrah[Kuwait]---27,84km--->Ash Shuwaykh[Kuwait]
Ash Shuwaykh[Kuwait]---14,97km--->Al Maqwa[Kuwait]
Al Maqwa[Kuwait]---12,04km--->Al Ahmadi[Kuwait]
Al Ahmadi[Kuwait]---6,67km--->Al Fuhayhil[Kuwait]
Al Fuhayhil[Kuwait]---2,23km--->Ash Shuaybah[Kuwait]
Ash Shuaybah[Kuwait]---21,84km--->As Salimiyah[Kuwait]
As Salimiyah[Kuwait]---58,01km--->Al Wafra[Kuwait]
Al Wafra[Kuwait]---41,57km--->Al Khiran[Kuwait]
Al Khiran[Kuwait]---166,07km--->Al Hulaybah[Kuwait]
Al Hulaybah[Kuwait]---133,92km--->An Nasiriyah[Iraq]
An Nasiriyah[Iraq]---32,00km--->Ash Shatrah[Iraq]
Ash Shatrah[Iraq]---91,59km--->Al Kut[Iraq]
