Alat[Azerbaijan]---1096,28km--->Amu Darya[Turkmenistan]
Amu Darya[Turkmenistan]---762,31km--->Andkhvoy[Afghanistan]
Andkhvoy[Afghanistan]---590,17km--->Angren[Uzbekistan]
Angren[Uzbekistan]---241,48km--->Andijon[Uzbekistan]
Andijon[Uzbekistan]---377,91km--->Anantnag[Kashmir]
Anantnag[Kashmir]---9,19km--->Achabal[Kashmir]
Achabal[Kashmir]---58,76km--->Ajnala[Punjab]
Ajnala[Punjab]---11,86km--->Amritsar[Punjab]
Amritsar[Punjab]---88,64km--->Abohar[Punjab]
Abohar[Punjab]---121,37km--->Ajmer[Rajasthan]
Ajmer[Rajasthan]---164,31km--->Amalner[Maharashtra]
Amalner[Maharashtra]---68,45km--->Ahmadnagar[Maharashtra]
Ahmadnagar[Maharashtra]---127,21km--->Ahwa[Gujarat]
Ahwa[Gujarat]---80,32km--->Ankleswar[Gujarat]
Ankleswar[Gujarat]---32,54km--->Anand[Gujarat]
Anand[Gujarat]---37,65km--->Ahmadabad[Gujarat]
Ahmadabad[Gujarat]---51,14km--->Abu Road[Rajasthan]
Abu Road[Rajasthan]---191,65km--->Alibag[Maharashtra]
Alibag[Maharashtra]---138,97km--->Aguada[Goa]
Aguada[Goa]---325,69km--->Alwaye[Kerala]
Alwaye[Kerala]---17,14km--->Alleppey[Kerala]
Alleppey[Kerala]---46,29km--->Adur[Kerala]
Adur[Kerala]---13,50km--->Anjengo[Kerala]
Anjengo[Kerala]---77,84km--->Ambasamudram[Tamil Nadu]
Ambasamudram[Tamil Nadu]---144,19km--->Anantapur[Andhra Pradesh]
Anantapur[Andhra Pradesh]---42,35km--->Adoni[Andhra Pradesh]
Adoni[Andhra Pradesh]---129,96km--->Akola[Maharashtra]
Akola[Maharashtra]---10,36km--->Akot[Maharashtra]
Akot[Maharashtra]---50,21km--->Achalpur[Maharashtra]
Achalpur[Maharashtra]---28,83km--->Amravati[Maharashtra]
Amravati[Maharashtra]---91,38km--->Adilabad[Andhra Pradesh]
Adilabad[Andhra Pradesh]---178,78km--->Agra[India]
Agra[India]---0,00km--->Agra[Uttar Pradesh]
Agra[Uttar Pradesh]---34,82km--->Aligarh[Uttar Pradesh]
Aligarh[Uttar Pradesh]---29,05km--->Amroha[Uttar Pradesh]
Amroha[Uttar Pradesh]---185,49km--->Ambala[Haryana]
Ambala[Haryana]---75,49km--->Alwar[Rajasthan]
Alwar[Rajasthan]---81,32km--->Aklera[Rajasthan]
Aklera[Rajasthan]---479,32km--->Almaty[Kazakstan]
Almaty[Kazakstan]---649,19km--->Allahabad[Uttar Pradesh]
Allahabad[Uttar Pradesh]---45,47km--->Amarkantak[Madhya Pradesh]
Amarkantak[Madhya Pradesh]---159,09km--->Anakapalle[Andhra Pradesh]
Anakapalle[Andhra Pradesh]---75,24km--->Ambikapur[Madhya Pradesh]
Ambikapur[Madhya Pradesh]---104,48km--->Amarpur[Tripura]
Amarpur[Tripura]---125,95km--->Anugul[Orissa]
Anugul[Orissa]---111,24km--->Anandapur[Orissa]
Anandapur[Orissa]---264,01km--->Altay[China]
Altay[China]---165,45km--->Alipur Duar[West Bengal]
Alipur Duar[West Bengal]---188,99km--->Agartala[Tripura]
Agartala[Tripura]---40,03km--->Ampi Bazar[Tripura]
Ampi Bazar[Tripura]---24,48km--->Ambasa[Tripura]
Ambasa[Tripura]---96,74km--->Aizawl[Mizoram]
Aizawl[Mizoram]---16,29km--->Amring[Assam]
Amring[Assam]---216,42km--->Along[Arunachal Pradesh]
Along[Arunachal Pradesh]---98,66km--->Allanmyo[Burma]
Allanmyo[Burma]---248,28km--->Altay[Mongolia]
Altay[Mongolia]---811,24km--->Alor Setar[Malaysia]
Alor Setar[Malaysia]---388,44km--->Ang Mo Kio[Singapore]
Ang Mo Kio[Singapore]---1357,06km--->Aberdeen[Hong Kong]
Aberdeen[Hong Kong]---800,67km--->Angeles[Philippines]
Angeles[Philippines]---1448,63km--->Ambon[Indonesia]
Ambon[Indonesia]---1076,32km--->Airai[Palau]
Airai[Palau]---1245,49km--->Agana[Guam]
Agana[Guam]---1585,71km--->Angoram[Papua New Guinea]
Angoram[Papua New Guinea]---914,93km--->Alotau[Papua New Guinea]
Alotau[Papua New Guinea]---1587,90km--->Alyangula[Northern Territory]
Alyangula[Northern Territory]---827,06km--->Alice Springs[Northern Territory]
Alice Springs[Northern Territory]---648,87km--->Andamooka[South Australia]
Andamooka[South Australia]---401,12km--->Adelaide[South Australia]
Adelaide[South Australia]---925,62km--->Albury-Wodonga[New South Wales]
Albury-Wodonga[New South Wales]---0,00km--->Albury-Wodonga[Victoria]
Albury-Wodonga[Victoria]---2693,71km--->Alexandra[New Zealand]
Alexandra[New Zealand]---4040,80km--->A'opo[Western Samoa]
A'opo[Western Samoa]---2696,46km--->Anibare[Nauru]
Anibare[Nauru]---1,08km--->Anabar[Nauru]
Anabar[Nauru]---0,00km--->Anetan[Nauru]
Anetan[Nauru]---4928,30km--->Akita[Japan]
Akita[Japan]---1620,28km--->Aihui[China]
Aihui[China]---4841,29km--->Albany[Western Australia]
Albany[Western Australia]---3941,09km--->Anuradhapura[Sri Lanka]
Anuradhapura[Sri Lanka]---54,32km--->Ambalangoda[Sri Lanka]
Ambalangoda[Sri Lanka]---1060,37km--->Amreli[Gujarat]
Amreli[Gujarat]---145,61km--->Anjar[Gujarat]
Anjar[Gujarat]---5244,82km--->Adutiskis[Lithuania]
Adutiskis[Lithuania]---230,74km--->Aluksne[Latvia]
Aluksne[Latvia]---70,14km--->Antsla[Estonia]
Antsla[Estonia]---183,54km--->Aloja[Latvia]
Aloja[Latvia]---59,79km--->Ainazi[Latvia]
Ainazi[Latvia]---327,66km--->Aizpute[Latvia]
Aizpute[Latvia]---361,58km--->Alytus[Lithuania]
Alytus[Lithuania]---1030,36km--->Allinge[Denmark]
Allinge[Denmark]---577,07km--->Alborg[Denmark]
Alborg[Denmark]---228,29km--->Abenra[Denmark]
Abenra[Denmark]---425,71km--->Almelo[Netherlands]
Almelo[Netherlands]---184,71km--->Aachen[Germany]
Aachen[Germany]---193,06km--->Antwerp[Belgium]
Antwerp[Belgium]---45,25km--->Anderlecht[Belgium]
Anderlecht[Belgium]---32,01km--->Aalst[Belgium]
Aalst[Belgium]---185,94km--->Amsterdam[Netherlands]
Amsterdam[Netherlands]---36,33km--->Alkmaar[Netherlands]
Alkmaar[Netherlands]---407,44km--->Amiens[France]
Amiens[France]---697,57km--->Aarau[Switzerland]
Aarau[Switzerland]---86,47km--->Altdorf[Switzerland]
Altdorf[Switzerland]---527,53km--->Acquaviva[San Marino]
Acquaviva[San Marino]---125,00km--->Ancona[Italy]
Ancona[Italy]---366,17km--->Althofen[Austria]
Althofen[Austria]---141,28km--->Amstetten[Austria]
Amstetten[Austria]---959,70km--->Ajaccio[France]
Ajaccio[France]---804,28km--->Andorra la Vella[Andorra]
Andorra la Vella[Andorra]---1204,56km--->Alcacer do Sal[Portugal]
Alcacer do Sal[Portugal]---883,67km--->Agadir[Morocco]
Agadir[Morocco]---482,52km--->Ain Ben Tili[Mauritania]
Ain Ben Tili[Mauritania]---1089,58km--->Aleg[Mauritania]
Aleg[Mauritania]---4575,13km--->Albina[Suriname]
Albina[Suriname]---108,33km--->Afobaka[Suriname]
Afobaka[Suriname]---1030,43km--->All Saints[Antigua and Barbuda]
All Saints[Antigua and Barbuda]---549,72km--->Adjuntas[Puerto Rico]
Adjuntas[Puerto Rico]---49,14km--->Aguadilla[Puerto Rico]
Aguadilla[Puerto Rico]---636,21km--->Anse a Galets[Haiti]
Anse a Galets[Haiti]---116,13km--->Abraham's Bay[Bahamas]
Abraham's Bay[Bahamas]---204,01km--->Anse-d'Hainault[Haiti]
Anse-d'Hainault[Haiti]---258,05km--->Annotto Bay[Jamaica]
Annotto Bay[Jamaica]---89,50km--->Alligator Pond[Jamaica]
Alligator Pond[Jamaica]---163,60km--->Andros Town[Bahamas]
Andros Town[Bahamas]---171,61km--->Alice Town[Bahamas]
Alice Town[Bahamas]---214,27km--->Albemarle[North Carolina]
Albemarle[North Carolina]---124,51km--->Albion[Pennsylvania]
Albion[Pennsylvania]---128,67km--->Akron[Ohio]
Akron[Ohio]---123,76km--->Aiken[South Carolina]
Aiken[South Carolina]---47,60km--->Allendale[South Carolina]
Allendale[South Carolina]---149,67km--->Anderson[South Carolina]
Anderson[South Carolina]---160,34km--->Ann Arbor[Michigan]
Ann Arbor[Michigan]---47,86km--->Alpena[Michigan]
Alpena[Michigan]---176,47km--->Angola[Indiana]
Angola[Indiana]---76,86km--->Anderson[Indiana]
Anderson[Indiana]---55,61km--->Anniston[Alabama]
Anniston[Alabama]---74,34km--->Andalusia[Alabama]
Andalusia[Alabama]---240,28km--->Americus[Georgia (U.S.)]
Americus[Georgia (U.S.)]---9,36km--->Albany[Georgia (U.S.)]
Albany[Georgia (U.S.)]---239,98km--->Alajuela[Costa Rica]
Alajuela[Costa Rica]---202,59km--->Almirante[Panama]
Almirante[Panama]---206,43km--->Aguadulce[Panama]
Aguadulce[Panama]---286,59km--->Ambato[Ecuador]
Ambato[Ecuador]---250,00km--->Andoas[Peru]
Andoas[Peru]---928,21km--->Antofagasta[Chile]
Antofagasta[Chile]---1637,94km--->Achar[Uruguay]
Achar[Uruguay]---3538,20km--->Alexandria[Virginia]
Alexandria[Virginia]---61,31km--->Annapolis[Maryland]
Annapolis[Maryland]---38,11km--->Aberdeen[Maryland]
Aberdeen[Maryland]---83,39km--->Allentown[Pennsylvania]
Allentown[Pennsylvania]---158,87km--->Amsterdam[New York]
Amsterdam[New York]---48,69km--->Albany[New York]
Albany[New York]---138,18km--->Amherst[Massachusetts]
Amherst[Massachusetts]---654,67km--->Altoona[Pennsylvania]
Altoona[Pennsylvania]---1210,10km--->Aguilares[El Salvador]
Aguilares[El Salvador]---72,28km--->Acajutla[El Salvador]
Acajutla[El Salvador]---2,23km--->Ahuachapan[El Salvador]
Ahuachapan[El Salvador]---36,92km--->Alton[Illinois]
Alton[Illinois]---50,46km--->Amatitlan[Guatemala]
Amatitlan[Guatemala]---12,23km--->Antigua[Guatemala]
Antigua[Guatemala]---146,44km--->Alma[Wisconsin]
Alma[Wisconsin]---80,88km--->Alexandria[Louisiana]
Alexandria[Louisiana]---124,02km--->Albert Lea[Minnesota]
Albert Lea[Minnesota]---29,89km--->Ames[Iowa]
Ames[Iowa]---33,89km--->Aitkin[Minnesota]
Aitkin[Minnesota]---64,69km--->Algona[Iowa]
Algona[Iowa]---129,41km--->Alexandria[Minnesota]
Alexandria[Minnesota]---191,83km--->Ada[Oklahoma]
Ada[Oklahoma]---81,63km--->Abilene[Kansas]
Abilene[Kansas]---127,04km--->Anadarko[Oklahoma]
Anadarko[Oklahoma]---55,53km--->Alva[Oklahoma]
Alva[Oklahoma]---82,34km--->Altus[Oklahoma]
Altus[Oklahoma]---60,12km--->Abilene[Texas]
Abilene[Texas]---146,49km--->Alma[Nebraska]
Alma[Nebraska]---72,78km--->Ainsworth[Nebraska]
Ainsworth[Nebraska]---161,83km--->Aberdeen[South Dakota]
Aberdeen[South Dakota]---285,89km--->Alice[Texas]
Alice[Texas]---278,83km--->Acapulco[Mexico]
Acapulco[Mexico]---285,51km--->Aguascalientes[Mexico]
Aguascalientes[Mexico]---260,06km--->Alpine[Texas]
Alpine[Texas]---233,68km--->Amarillo[Texas]
Amarillo[Texas]---198,81km--->Alliance[Nebraska]
Alliance[Nebraska]---356,96km--->Alamosa[Colorado]
Alamosa[Colorado]---19,60km--->Antonito[Colorado]
Antonito[Colorado]---94,52km--->Albuquerque[New Mexico]
Albuquerque[New Mexico]---105,02km--->Alamogordo[New Mexico]
Alamogordo[New Mexico]---313,75km--->Alcova[Wyoming]
Alcova[Wyoming]---468,17km--->Afton[Wyoming]
Afton[Wyoming]---214,62km--->American Falls[Idaho]
American Falls[Idaho]---144,88km--->Anaconda[Montana]
Anaconda[Montana]---465,30km--->Alamo[Nevada]
Alamo[Nevada]---338,98km--->Ajo[Arizona]
Ajo[Arizona]---564,63km--->Anaheim[California]
Anaheim[California]---507,00km--->Alturas[California]
Alturas[California]---338,92km--->Albany[Oregon]
Albany[Oregon]---164,81km--->Aberdeen[Washington]
Aberdeen[Washington]---3124,03km--->Anchorage[Alaska]
Anchorage[Alaska]---314,84km--->Anderson[Alaska]
Anderson[Alaska]---1212,78km--->Aniak[Alaska]
Aniak[Alaska]---2549,76km--->Anadyr[Russia]
Anadyr[Russia]---9573,53km--->Alexander Bay[South Africa]
Alexander Bay[South Africa]---9746,81km--->Alvdal[Norway]
Alvdal[Norway]---501,86km--->Alesund[Norway]
Alesund[Norway]---1555,27km--->Andselv[Norway]
Andselv[Norway]---524,34km--->Alta[Norway]
Alta[Norway]---4617,14km--->Akureyri[Iceland]
