Bauchi[Nigeria]---349,63km--->Baissa[Nigeria]
Baissa[Nigeria]---142,30km--->Banyo[Cameroon]
Banyo[Cameroon]---204,14km--->Bamenda[Cameroon]
Bamenda[Cameroon]---364,67km--->Belabo[Cameroon]
Belabo[Cameroon]---56,72km--->Bertoua[Cameroon]
Bertoua[Cameroon]---118,75km--->Betare Oya[Cameroon]
Betare Oya[Cameroon]---85,06km--->Baboua[Central African Republic]
Baboua[Central African Republic]---88,21km--->Bouar[Central African Republic]
Bouar[Central African Republic]---95,32km--->Bozoum[Central African Republic]
Bozoum[Central African Republic]---120,19km--->Bossangoa[Central African Republic]
Bossangoa[Central African Republic]---128,31km--->Batangafo[Central African Republic]
Batangafo[Central African Republic]---226,54km--->Bossembele[Central African Republic]
Bossembele[Central African Republic]---102,68km--->Boda[Central African Republic]
Boda[Central African Republic]---123,54km--->Bangui[Central African Republic]
Bangui[Central African Republic]---139,31km--->Betou[Congo (Brazzaville)]
Betou[Congo (Brazzaville)]---331,10km--->Berberati[Central African Republic]
Berberati[Central African Republic]---547,76km--->Boki[Cameroon]
Boki[Cameroon]---259,33km--->Bongor[Chad]
Bongor[Chad]---302,63km--->Beli[Nigeria]
Beli[Nigeria]---194,55km--->Ati[Chad]
Ati[Chad]---283,92km--->Abeche[Chad]
Abeche[Chad]---185,24km--->Al Junaynah[Sudan]
Al Junaynah[Sudan]---327,44km--->Birao[Central African Republic]
Birao[Central African Republic]---288,61km--->Am Timan[Chad]
Am Timan[Chad]---503,52km--->Bria[Central African Republic]
Bria[Central African Republic]---123,27km--->Bakouma[Central African Republic]
Bakouma[Central African Republic]---96,77km--->Bangassou[Central African Republic]
Bangassou[Central African Republic]---212,27km--->Alindao[Central African Republic]
Alindao[Central African Republic]---96,60km--->Bambari[Central African Republic]
Bambari[Central African Republic]---419,91km--->Bumba[Congo (Kinshasa)]
Bumba[Congo (Kinshasa)]---1183,90km--->Caungula[Angola]
Caungula[Angola]---400,48km--->Camacupa[Angola]
Camacupa[Angola]---318,12km--->Cangamba[Angola]
Cangamba[Angola]---385,96km--->Cazombo[Angola]
Cazombo[Angola]---2220,33km--->Ana[Sao Tome and Principe]
Ana[Sao Tome and Principe]---4,70km--->Caixao Grande[Sao Tome and Principe]
Caixao Grande[Sao Tome and Principe]---165,15km--->Bela Vista[Sao Tome and Principe]
Bela Vista[Sao Tome and Principe]---1525,90km--->Bol[Chad]
Bol[Chad]---1972,56km--->Bani Walid[Libya]
Bani Walid[Libya]---100,22km--->Al Khums[Libya]
Al Khums[Libya]---342,63km--->Birzebbuga[Malta]
Birzebbuga[Malta]---10,99km--->Birkirkara[Malta]
Birkirkara[Malta]---188,58km--->Catania[Italy]
Catania[Italy]---222,51km--->Catanzaro[Italy]
Catanzaro[Italy]---239,38km--->Bari[Italy]
Bari[Italy]---216,43km--->Cavtat[Croatia]
Cavtat[Croatia]---39,35km--->Bileca[Bosnia-Herzegovina]
Bileca[Bosnia-Herzegovina]---112,45km--->Bar[Yugoslavia]
Bar[Yugoslavia]---172,77km--->Berat[Albania]
Berat[Albania]---161,44km--->Bitola[Macedonia]
Bitola[Macedonia]---26,45km--->Brod[Macedonia]
Brod[Macedonia]---60,89km--->Bojanciste[Macedonia]
Bojanciste[Macedonia]---84,02km--->Blatec[Macedonia]
Blatec[Macedonia]---32,85km--->Berovo[Macedonia]
Berovo[Macedonia]---42,96km--->Blagoevgrad[Bulgaria]
Blagoevgrad[Bulgaria]---117,38km--->Botevgrad[Bulgaria]
Botevgrad[Bulgaria]---80,74km--->Berkovitsa[Bulgaria]
Berkovitsa[Bulgaria]---63,82km--->Belogradchik[Bulgaria]
Belogradchik[Bulgaria]---82,59km--->Bor[Yugoslavia]
Bor[Yugoslavia]---47,10km--->Brza Palanka[Yugoslavia]
Brza Palanka[Yugoslavia]---126,37km--->Aleksinac[Yugoslavia]
Aleksinac[Yugoslavia]---191,28km--->Belgrade[Yugoslavia]
Belgrade[Yugoslavia]---139,01km--->Bijeljina[Bosnia-Herzegovina]
Bijeljina[Bosnia-Herzegovina]---50,58km--->Brcko[Bosnia-Herzegovina]
Brcko[Bosnia-Herzegovina]---102,24km--->Batina[Croatia]
Batina[Croatia]---37,19km--->Baja[Hungary]
Baja[Hungary]---138,93km--->Cegled[Hungary]
Cegled[Hungary]---87,22km--->Budapest[Hungary]
Budapest[Hungary]---129,46km--->Banska Bystrica[Slovakia]
Banska Bystrica[Slovakia]---56,39km--->Brezno[Slovakia]
Brezno[Slovakia]---187,48km--->Bardejov[Slovakia]
Bardejov[Slovakia]---211,58km--->Carei[Romania]
Carei[Romania]---184,03km--->Bekescsaba[Hungary]
Bekescsaba[Hungary]---57,31km--->Arad[Romania]
Arad[Romania]---289,11km--->Blaj[Romania]
Blaj[Romania]---192,76km--->Brasov[Romania]
Brasov[Romania]---133,29km--->Bucharest[Romania]
Bucharest[Romania]---96,76km--->Alexandria[Romania]
Alexandria[Romania]---40,59km--->Belene[Bulgaria]
Belene[Bulgaria]---149,65km--->Byala[Bulgaria]
Byala[Bulgaria]---119,02km--->Aytos[Bulgaria]
Aytos[Bulgaria]---31,44km--->Burgas[Bulgaria]
Burgas[Bulgaria]---241,93km--->Alexandroupolis[Greece]
Alexandroupolis[Greece]---225,48km--->Bergama[Turkey]
Bergama[Turkey]---208,36km--->Bodrum[Turkey]
Bodrum[Turkey]---289,22km--->Andros[Greece]
Andros[Greece]---134,30km--->Athens[Greece]
Athens[Greece]---201,24km--->Areopolis[Greece]
Areopolis[Greece]---228,66km--->Agrinion[Greece]
Agrinion[Greece]---72,80km--->Arta[Greece]
Arta[Greece]---646,70km--->Blato[Croatia]
Blato[Croatia]---125,89km--->Bosanski Petrovac[Bosnia-Herzegovina]
Bosanski Petrovac[Bosnia-Herzegovina]---41,66km--->Bosanska Krupa[Bosnia-Herzegovina]
Bosanska Krupa[Bosnia-Herzegovina]---31,21km--->Bihac[Bosnia-Herzegovina]
Bihac[Bosnia-Herzegovina]---93,76km--->Benkovac[Croatia]
Benkovac[Croatia]---195,40km--->Banja Luka[Bosnia-Herzegovina]
Banja Luka[Bosnia-Herzegovina]---122,61km--->Bjelovar[Croatia]
Bjelovar[Croatia]---69,25km--->Cakovec[Croatia]
Cakovec[Croatia]---107,54km--->Brezice[Slovenia]
Brezice[Slovenia]---49,39km--->Celje[Slovenia]
Celje[Slovenia]---111,57km--->Althofen[Austria]
Althofen[Austria]---132,48km--->Bad Ischl[Austria]
Bad Ischl[Austria]---55,06km--->Bischofshofen[Austria]
Bischofshofen[Austria]---33,40km--->Berchtesgaden[Germany]
